Year Released,Album Length,Album Name,Artist
2022,5769992,HEROES & VILLAINS (Heroes Version),Metro Boomin
2022,5769992,HEROES & VILLAINS (Heroes Version),Metro Boomin
2022,2884996,HEROES & VILLAINS,Metro Boomin
2022,2884996,HEROES & VILLAINS,Metro Boomin
2020,6345088,SAVAGE MODE II [CHOPPED NOT SLOPPED],21 Savage
2020,2640651,SAVAGE MODE II,21 Savage
2020,2640650,SAVAGE MODE II,21 Savage
2018,5250459,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin
2017,2494104,Double Or Nothing (& Metro Boomin),Big Sean
2017,2009424,Without Warning,21 Savage
2017,3326792,Perfect Timing,NAV
2016,1946903,Savage Mode,21 Savage
2014,3638905,19 & Boomin,Metro Boomin
2014,3002861,19 & Boomin,Metro Boomin
2022,3640545,Her Loss,Drake
2022,3640545,Her Loss,Drake
2022,3152558,"Honestly, Nevermind",Drake
2022,3152558,"Honestly, Nevermind",Drake
2021,5173117,Certified Lover Boy,Drake
2021,5173116,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2020,2991074,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4318651,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2011,5005837,Take Care (Deluxe),Drake
2010,3927422,Thank Me Later (Int'l Version),Drake
2009,4437710,So Far Gone,Drake
2022,3561042,Only Built For Infinity Links,Quavo
2022,3561085,Only Built For Infinity Links,Quavo
2018,3977456,QUAVO HUNCHO,Quavo
2017,2493789,"Huncho Jack, Jack Huncho",Huncho Jack
2022,3196493,Pink Heartz,SoFaygo
2022,3196493,Pink Heartz,SoFaygo
2020,1195255,After Me,SoFaygo
2020,836540,Angelic 7,SoFaygo
2019,1013756,WAR,SoFaygo
2022,2429699,23,Central Cee
2021,2312475,Wild West,Central Cee
2022,8313072,So Icy Boyz 22,Gucci Mane
2022,6056723,So Icy Gang: The ReUp,Gucci Mane
2021,2718637,So Icy Christmas,Gucci Mane
2021,5887305,So Icy Boyz (Deluxe),Gucci Mane
2021,5887299,So Icy Boyz (Deluxe),Gucci Mane
2021,2942869,So Icy Boyz,Gucci Mane
2021,2942869,So Icy Boyz,Gucci Mane
2021,5875671,So Icy Boyz Instrumental,Gucci Mane
2021,3073038,Ice Daddy,Gucci Mane
2021,3073038,Ice Daddy,Gucci Mane
2020,4819907,Gucci Mane Presents: So Icy Summer,Gucci Mane
2019,2573706,East Atlanta Santa 3,Gucci Mane
2019,2572721,East Atlanta Santa 3,Gucci Mane
2019,2168475,Woptober II,Gucci Mane
2019,2166963,Woptober II,Gucci Mane
2019,3482405,Delusions of Grandeur,Gucci Mane
2018,3045879,Evil Genius,Gucci Mane
2017,1841897,El Gato: The Human Glacier,Gucci Mane
2017,3672298,Mr. Davis,Gucci Mane
2017,2250723,Droptopwop,Gucci Mane
2016,2579415,The Return of East Atlanta Santa,Gucci Mane
2016,2610302,WOPTOBER,Gucci Mane
2016,3140771,Everybody Looking,Gucci Mane
2016,2831091,Birds of a Feather 2,Don Mega
2016,7170736,Meal Ticket,Gucci Mane
2016,3527875,"Gucci Vs. C-Note, 2",Gucci Mane
2016,11705335,Greatest Mixtape Hits,Gucci Mane
2016,5778194,El Chapo's Home,Gucci Mane
2015,2308951,East Atlanta Santa 2,Gucci Mane
2015,3798709,"Wilt Chamberlain, Pt. 4",Gucci Mane
2015,4083314,"Wilt Chamberlain, Pt. 2",Gucci Mane
2015,4645625,"Wilt Chamberlain, Pt. 6",Gucci Mane
2015,4533961,Kitchen Talk,Gucci Mane
2015,4436914,Goochsomnia,Gucci Mane
